grid_cell,grid_row_u,grid_col_r,product_id,timestamp,cloud_cover,nodata,centre_lat,centre_lon,crs,parquet_url,parquet_row,geometry,unique_identifier
207U_1063L,207,-1063,S2A_MSIL1C_20211115T171601_N0500_R112_T14QLF_20230103T210321,2021-11-15 17:16:01,0.898543253517373,0.0,18.63841450616485,-100.68484553673882,EPSG:32614,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02231.parquet,9,POINT (-100.68484553673882 18.63841450616485),05400_p18.64_n100.68
207U_686L,207,-686,S2A_MSIL1C_20200618T145731_N0500_R039_T20QKF_20230328T030549,2020-06-18 14:57:31,0.4463346378824223,0.0,18.638476650953177,-64.95973459595655,EPSG:32620,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02231.parquet,385,POINT (-64.95973459595655 18.638476650953177),05402_p18.64_n64.96
207U_60L,207,-60,S2A_MSIL1C_20211121T105341_N0500_R051_T30QTF_20230101T114346,2021-11-21 10:53:41,0.0,0.0,18.63862569528772,-5.639062781647275,EPSG:32630,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02232.parquet,196,POINT (-5.639062781647275 18.63862569528772),05404_p18.64_n5.64
207U_92R,207,92,S2B_MSIL1C_20221004T095029_N0400_R079_T32QMF_20221004T120914,2022-10-04 09:50:29,0.0,0.0,18.638069216164897,8.765413195216988,EPSG:32632,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02232.parquet,345,POINT (8.765413195216988 18.638069216164897),05405_p18.64_p8.77
207U_228R,207,228,S2B_MSIL1C_20230706T085559_N0509_R007_T34QEF_20230706T110106,2023-07-06 08:55:59,1.2130202415519926,0.0,18.63784343905224,21.6532471892411,EPSG:32634,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02232.parquet,481,POINT (21.6532471892411 18.637843439052237),05406_p18.64_p21.65
207U_367R,207,367,S2B_MSIL1C_20221014T080909_N0400_R078_T36QXF_20221014T092605,2022-10-14 08:09:09,0.0,0.0,18.637528716944857,34.82542322626692,EPSG:32636,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02233.parquet,119,POINT (34.82542322626692 18.637528716944857),05407_p18.64_p34.83
207U_521R,207,521,S2A_MSIL1C_20230330T070621_N0509_R106_T39QUA_20230330T085615,2023-03-30 07:06:21,0.0,0.0,18.63839102054869,49.41784262627383,EPSG:32639,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02233.parquet,271,POINT (49.41784262627383 18.63839102054869),05408_p18.64_p49.42
207U_759R,207,759,S2A_MSIL1C_20220117T054151_N0301_R005_T42QZF_20220117T062303,2022-01-17 05:41:51,0.0,0.0,18.637202576814925,71.97230374040653,EPSG:32642,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02233.parquet,405,POINT (71.97230374040653 18.637202576814925),05409_p18.64_p71.97
207U_1116R,207,1116,S2A_MSIL1C_20220408T032541_N0400_R018_T48QWF_20220408T061032,2022-04-08 03:25:41,3.242435719395699,0.0,18.63780461356973,105.80174499388492,EPSG:32648,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02234.parquet,218,POINT (105.80174499388492 18.637804613569735),05411_p18.64_p105.80
208U_1632L,208,-1632,S2A_MSIL1C_20230929T205941_N0509_R014_T05QLA_20230929T234735,2023-09-29 20:59:41,0.0,0.0,18.728236637571545,-154.6857353755995,EPSG:32605,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02234.parquet,472,POINT (-154.6857353755995 18.728236637571545),05412_p18.73_n154.69
208U_769L,208,-769,S2A_MSIL1C_20210317T153621_N0500_R068_T18QYF_20230524T071822,2021-03-17 15:36:21,1.2918367490075606,0.0,18.72725913851429,-72.86224072271465,EPSG:32618,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02235.parquet,361,POINT (-72.86224072271465 18.72725913851429),05414_p18.73_n72.86
208U_513L,208,-513,S2A_MSIL1C_20230327T135701_N0509_R067_T22QGF_20230327T171910,2023-03-27 13:57:01,0.0,0.0,18.72718197628465,-48.590383996102666,EPSG:32622,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02236.parquet,83,POINT (-48.590383996102666 18.72718197628465),05415_p18.73_n48.59
208U_85L,208,-85,S2A_MSIL1C_20200702T105621_N0500_R094_T29QNA_20230530T145124,2020-07-02 10:56:21,0.0,0.0,18.72757411049436,-8.01132153451118,EPSG:32629,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02236.parquet,220,POINT (-8.01132153451118 18.72757411049436),05416_p18.73_n8.01
208U_29R,208,29,S2A_MSIL1C_20220210T102151_N0400_R065_T31QDA_20220210T160136,2022-02-10 10:21:51,0.0,0.0,18.727881590986502,2.796901657766812,EPSG:32631,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02236.parquet,334,POINT (2.7969016577668118 18.727881590986502),05417_p18.73_p2.80
208U_170R,208,170,S2A_MSIL1C_20201129T092341_N0500_R093_T33QXA_20230409T105329,2020-11-29 09:23:41,0.0,0.0,18.727526767104774,16.165704554091004,EPSG:32633,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02236.parquet,475,POINT (16.165704554091004 18.727526767104774),05418_p18.73_p16.17
208U_303R,208,303,S2B_MSIL1C_20211025T082929_N0500_R021_T35QPA_20230101T141625,2021-10-25 08:29:29,0.5377758139404396,0.0,18.72736030462624,28.775808811507897,EPSG:32635,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02237.parquet,107,POINT (28.775808811507897 18.72736030462624),05419_p18.73_p28.78
208U_445R,208,445,S2B_MSIL1C_20200228T073839_N0500_R092_T38QKF_20230612T191457,2020-02-28 07:38:39,0.0,0.0,18.728475198877508,42.237831342114326,EPSG:32638,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02237.parquet,250,POINT (42.237831342114326 18.728475198877508),05420_p18.73_p42.24
208U_568R,208,568,S2B_MSIL1C_20220930T064649_N0400_R020_T39QZA_20220930T084956,2022-09-30 06:46:49,0.0,0.0,18.72703989843432,53.901168138873885,EPSG:32639,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02237.parquet,372,POINT (53.901168138873885 18.72703989843432),05421_p18.73_p53.90
208U_822R,208,822,S2A_MSIL1C_20220421T051701_N0400_R062_T43QHA_20220421T071948,2022-04-21 05:17:01,0.0,0.0,18.72701582181692,77.98335657297729,EPSG:32643,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02238.parquet,22,POINT (77.98335657297729 18.72701582181692),05422_p18.73_p77.98
208U_1044R,208,1044,S2B_MSIL1C_20210124T035039_N0500_R104_T47QMA_20230521T174707,2021-01-24 03:50:39,0.0,0.0,18.727822784186912,99.03083295279036,EPSG:32647,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02238.parquet,208,POINT (99.03083295279036 18.727822784186912),05423_p18.73_p99.03
209U_1048L,209,-1048,S2A_MSIL1C_20221008T170211_N0400_R069_T14QMF_20221008T204745,2022-10-08 17:02:11,0.0,0.0,18.817742895628683,-99.36767707568396,EPSG:32614,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02239.parquet,153,POINT (-99.36767707568396 18.817742895628683),05425_p18.82_n99.37
209U_846L,209,-846,S2A_MSIL1C_20230731T155531_N0509_R011_T17QNA_20230731T210535,2023-07-31 15:55:31,0.0143780947972337,0.0,18.817444525204348,-80.20531490588313,EPSG:32617,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02239.parquet,355,POINT (-80.20531490588313 18.817444525204348),05426_p18.82_n80.21
209U_88L,209,-88,S2A_MSIL1C_20210508T105621_N0500_R094_T29QNA_20230329T121228,2021-05-08 10:56:21,0.0,0.0,18.81746958106244,-8.300200876062997,EPSG:32629,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02240.parquet,281,POINT (-8.300200876062997 18.81746958106244),05428_p18.82_n8.30
209U_39R,209,39,S2B_MSIL1C_20221010T100839_N0400_R022_T31QEA_20221010T122230,2022-10-10 10:08:39,0.0,0.0,18.817457068635846,3.747242125449752,EPSG:32631,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02240.parquet,408,POINT (3.747242125449752 18.817457068635846),05429_p18.82_p3.75
209U_178R,209,178,S2A_MSIL1C_20210925T092031_N0500_R093_T33QXA_20230118T233535,2021-09-25 09:20:31,0.0,0.0,18.81713420384336,16.933306467524094,EPSG:32633,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02241.parquet,46,POINT (16.933306467524094 18.81713420384336),05430_p18.82_p16.93
209U_305R,209,305,S2A_MSIL1C_20200826T082611_N0500_R021_T35QQA_20230417T171913,2020-08-26 08:26:11,0.0,0.0,18.817120888112967,28.980748612451887,EPSG:32635,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02241.parquet,171,POINT (28.980748612451887 18.817120888112967),05431_p18.82_p28.98
209U_450R,209,450,S2A_MSIL1C_20220523T073621_N0400_R092_T38QKF_20220523T105844,2022-05-23 07:36:21,0.0,0.0,18.81818973353723,42.73454671595268,EPSG:32638,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02241.parquet,313,POINT (42.73454671595268 18.81818973353723),05432_p18.82_p42.73
209U_580R,209,580,S2A_MSIL1C_20220309T064721_N0400_R020_T40QBF_20220309T090049,2022-03-09 06:47:21,0.0,0.0,18.81811516210645,55.06666129779449,EPSG:32640,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02241.parquet,443,POINT (55.06666129779449 18.81811516210645),05433_p18.82_p55.07
209U_814R,209,814,S2A_MSIL1C_20230615T051651_N0509_R062_T43QGA_20230615T084618,2023-06-15 05:16:51,0.0,0.0,18.817040347741013,77.26540078768414,EPSG:32643,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02242.parquet,74,POINT (77.26540078768414 18.817040347741013),05434_p18.82_p77.27
209U_1019R,209,1019,S2B_MSIL1C_20230427T035539_N0509_R004_T47QKA_20230427T061948,2023-04-27 03:55:39,3.394457770483525,0.0,18.8181950010297,96.710824185256,EPSG:32647,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02242.parquet,250,POINT (96.710824185256 18.8181950010297),05435_p18.82_p96.71
209U_1211R,209,1211,S2A_MSIL1C_20220416T024551_N0400_R132_T50QKF_20220416T052741,2022-04-16 02:45:51,0.0857425409249673,0.0,18.81814731014869,114.92432667089948,EPSG:32650,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02242.parquet,443,POINT (114.92432667089948 18.81814731014869),05436_p18.82_p114.92
210U_1007L,210,-1007,S2A_MSIL1C_20210324T164931_N0500_R026_T15QTA_20230511T000541,2021-03-24 16:49:31,4.939226248088765,0.0,18.90807078761084,-95.52931937868836,EPSG:32615,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02243.parquet,282,POINT (-95.52931937868836 18.90807078761084),05438_p18.91_n95.53
210U_763L,210,-763,S2B_MSIL1C_20220123T152639_N0301_R025_T18QYF_20220123T171504,2022-01-23 15:26:39,2.8019750592658053,0.0,18.90675230975146,-72.36948868515492,EPSG:32618,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02244.parquet,21,POINT (-72.36948868515492 18.90675230975146),05439_p18.91_n72.37
210U_156L,210,-156,S2B_MSIL1C_20230810T113329_N0509_R080_T28QEF_20230810T151119,2023-08-10 11:33:29,0.0,0.0,18.90740857495025,-14.75869056374171,EPSG:32628,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02244.parquet,295,POINT (-14.75869056374171 18.90740857495025),05440_p18.91_n14.76
210U_27L,210,-27,S2A_MSIL1C_20210221T104041_N0500_R008_T30QWF_20230520T200221,2021-02-21 10:40:41,0.0,0.0,18.90734523721746,-2.515019793323225,EPSG:32630,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02244.parquet,423,POINT (-2.515019793323225 18.90734523721746),05441_p18.91_n2.52
210U_112R,210,112,S2A_MSIL1C_20220409T094031_N0400_R036_T32QPF_20220409T104842,2022-04-09 09:40:31,0.0,0.0,18.907023328273887,10.678005098880424,EPSG:32632,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02245.parquet,63,POINT (10.678005098880424 18.907023328273887),05442_p18.91_p10.68
210U_250R,210,250,S2B_MSIL1C_20201026T084949_N0500_R107_T34QGF_20230412T181057,2020-10-26 08:49:49,0.0,0.0,18.906709801511965,23.776075872439115,EPSG:32634,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02245.parquet,201,POINT (23.776075872439115 18.906709801511965),05443_p18.91_p23.78
210U_390R,210,390,S2A_MSIL1C_20220218T080001_N0400_R035_T37QBA_20220218T090458,2022-02-18 08:00:01,0.0,0.0,18.90793832847336,37.06247471496243,EPSG:32637,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02245.parquet,339,POINT (37.06247471496243 18.90793832847336),05444_p18.91_p37.06
210U_523R,210,523,S2A_MSIL1C_20220424T070631_N0400_R106_T39QUA_20220424T111308,2022-04-24 07:06:31,0.0,0.0,18.90779349315162,49.68591010530755,EPSG:32639,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02245.parquet,469,POINT (49.68591010530755 18.90779349315162),05445_p18.91_p49.69
210U_777R,210,777,S2A_MSIL1C_20210129T053101_N0500_R105_T43QCA_20230603T171423,2021-01-29 05:31:01,0.0,0.0,18.907767947884714,73.79350752448272,EPSG:32643,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02246.parquet,119,POINT (73.79350752448272 18.907767947884714),05446_p18.91_p73.79
210U_1133R,210,1133,S2A_MSIL1C_20200215T031821_N0500_R118_T48QYF_20230623T021341,2020-02-15 03:18:21,0.5185757971075481,0.0,18.90676610876405,107.58304454374958,EPSG:32648,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02246.parquet,447,POINT (107.58304454374958 18.90676610876405),05448_p18.91_p107.58
211U_1015L,211,-1015,S2A_MSIL1C_20210324T164931_N0500_R026_T14QQG_20230511T000541,2021-03-24 16:49:31,0.0,0.0,18.996559994484063,-96.33801888995346,EPSG:32614,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02247.parquet,359,POINT (-96.33801888995346 18.996559994484063),05450_p19.00_n96.34
211U_803L,211,-803,S2B_MSIL1C_20211230T154549_N0500_R111_T18QUG_20221223T190607,2021-12-30 15:45:49,2.2670047272370213,0.0,18.99758946144745,-76.20713034755235,EPSG:32618,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02248.parquet,68,POINT (-76.20713034755235 18.99758946144745),05451_p19.00_n76.21
211U_97L,211,-97,S2B_MSIL1C_20200408T105619_N0500_R094_T29QMB_20230429T101710,2020-04-08 10:56:19,0.0009643844071315,0.0,18.99733221437421,-9.16384189253475,EPSG:32629,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02248.parquet,431,POINT (-9.16384189253475 18.99733221437421),05453_p19.00_n9.16
211U_9R,211,9,S2A_MSIL1C_20210225T102021_N0500_R065_T31QBB_20230603T045935,2021-02-25 10:20:21,0.0,0.0,18.99779723421905,0.9015500603037389,EPSG:32631,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02249.parquet,37,POINT (0.9015500603037389 18.99779723421905),05454_p19.00_p0.90
211U_174R,211,174,S2A_MSIL1C_20211124T092321_N0500_R093_T33QXB_20230102T081725,2021-11-24 09:23:21,0.0,0.0,18.996871053033555,16.571243128841495,EPSG:32633,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02249.parquet,201,POINT (16.571243128841495 18.996871053033555),05455_p19.00_p16.57
211U_319R,211,319,S2A_MSIL1C_20201204T083331_N0500_R021_T36QTG_20230524T052501,2020-12-04 08:33:31,0.9885816886195626,0.0,18.99792253725061,30.33952206504196,EPSG:32636,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02249.parquet,345,POINT (30.33952206504196 18.99792253725061),05456_p19.00_p30.34
211U_450R,211,450,S2A_MSIL1C_20210707T073621_N0500_R092_T38QKG_20230202T174310,2021-07-07 07:36:21,0.0,0.0,18.99782478818838,42.77964578145199,EPSG:32638,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02249.parquet,475,POINT (42.77964578145199 18.99782478818838),05457_p19.00_p42.78
211U_590R,211,590,S2B_MSIL1C_20230515T063629_N0509_R120_T40QCG_20230515T082829,2023-05-15 06:36:29,0.0,0.0,18.99752146770106,56.07466990920536,EPSG:32640,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02250.parquet,114,POINT (56.07466990920536 18.99752146770106),05458_p19.00_p56.07
211U_837R,211,837,S2A_MSIL1C_20230602T050701_N0509_R019_T44QLG_20230602T070416,2023-06-02 05:07:01,0.0,0.0,18.997651875093773,79.53006613186922,EPSG:32644,https://huggingface.co/datasets/Major-TOM/Core-S2L1C/resolve/main/images/part_02250.parquet,258,POINT (79.53006613186922 18.997651875093773),05459_p19.00_p79.53
